song_id,duration,genre
13460427505664,142,rock
4707284156416,259,reggae
2525440770048,36,rock
16973710753795,216,blues
3642132267010,19,rock
5463198400513,25,blues
1709396983808,129,rock
266287972352,7,reggae
14379550507010,30,rap
9783935500289,37,rock
14345190768641,90,rap
11321533792258,75,reggae
15522011807745,58,rap
8993661517824,72,electro
8108898254850,155,rock
3805341024256,58,blues
7593502179328,77,blues
10471130267649,160,electro
8452495638528,141,rap
12025908428802,146,rock
12644383719424,,blues
10977936408577,288,blues
6717328850946,118,rock
42949672960,91,reggae
10307921510401,143,reggae
13159779794944,126,rock
10368051052547,9,rock
9947144257538,216,rock
6210522710017,27,reggae
7610682048512,90,blues
9491877724162,141,rock
4432406249473,111,blues
8091718385666,201,rap
6992206757889,49,electro
8074538516481,6,rock
8203387535363,32,rock
12335146074114,18,blues
16389595201537,121,rock
15178414424065,90,rock
15118284881920,75,rap
3985729650688,,reggae
7894149890049,34,rock
2130303778818,39,electro
12859132084224,160,electro
575525617664,85,rap
8100308320256,80,blues
15118284881922,,rock
15685220564993,81,rock
15427522527232,36,rock
3229815406592,45,rock
3135326126082,7,rock
4252017623040,6,electro
10969346473985,14,rock
11544872091648,11,rap
11510512353280,47,reggae
10926396801025,82,rock
13855564496897,117,rock
5076651343875,185,rock
12850542149632,52,rock
6657199308801,98,electro
13657996001281,26,rock
11742440587265,33,reggae
16123307229186,109,rap
14053132992513,22,electro
13700945674242,38,rock
14130442403842,22,blues
8641474199553,47,rock
16080357556225,106,electro
14551349198850,28,rock
11312943857666,21,reggae
13932873908226,17,rap
11819749998594,153,blues
163208757249,143,reggae
3642132267009,165,rock
14843406974977,25,blues
8864812498944,72,rock
11287174053888,121,rock
13194139533313,35,blues
12584254177282,34,reggae
1520418422786,125,rock
15049565405184,4,rock
12051678232578,107,blues
3015067041792,157,reggae
687194767360,110,electro
9801115369474,92,rock
266287972353,44,rap
3599182594049,29,rap
12206297055232,21,electro
7206955122690,,rap
6983616823298,28,rock
2748779069441,74,rock
6219112644610,136,rock
3874060500992,16,rock
11029476016130,152,rap
5428838662145,99,rock
9062380994562,158,reggae
9809705304066,39,electro
7507602833411,92,electro
14053132992514,157,blues
7584912244738,133,reggae
4681514352640,15,electro
13743895347202,87,rock
5360119185409,80,reggae
14276471291904,57,rock
10015863734273,90,rock
11622181502978,6,rap
16149077032960,77,blues
14121852469250,57,rock
11269994184706,146,blues
5540507811842,96,rock
5961414606848,28,rap
7636451852289,74,rock
15015205666818,82,blues
3899830304770,149,rap
8735963480065,87,rap
7627861917696,245,rock
1202590842880,73,reggae
9371618639873,197,rock
180388626432,13,electro
2843268349954,117,rock
7602092113922,36,electro
9363028705280,55,blues
266287972354,34,blues
8383776161793,98,rap
1374389534720,72,rock
2774548873217,224,rap
16638703304705,121,reggae
120259084290,10,reggae
6382321401858,113,blues
10350871183362,180,blues
9328668966914,87,blues
11493332484097,41,rock
5815385718786,129,rap
13134009991169,90,rock
7765300871168,197,rap
16303695855617,216,rock
13254269075458,160,blues
4982162063360,55,rock
15298673508354,31,rock
6511170420738,,rock
12335146074113,47,rock
11725260718082,37,rock
7155415515138,37,rap
14310831030274,147,electro
4252017623041,45,reggae
12103217840131,164,rock
16106127360000,40,blues
4028679323651,2,blues
10316511444992,35,rock
1520418422785,105,blues
6923487281153,13,blues
8693013807104,30,rock
5136780886016,146,rock
15891378995200,65,rock
16509854285825,16,rock
5334349381634,33,rock
11046655885314,147,blues
7636451852288,33,rock
7456063225856,77,rap
6047313952768,315,rap
13262859010048,138,reggae
8478265442305,48,rock
12687333392386,31,rock
3195455668224,7,rock
10763188043778,151,rock
412316860417,40,electro
9105330667522,150,rap
420906795010,20,blues
3813930958848,47,rock
10161892622337,173,rock
11235634446338,46,rock
7129645711361,249,rap
2456721293314,75,rock
11390253268992,18,rock
8529805049857,44,blues
1735166787587,54,rock
3908420239361,103,blues
3770981285888,32,rock
3616362463235,109,rock
10136122818561,62,rap
4002909519873,0,rock
7885559955458,20,rock
15865609191427,44,electro
17154099380225,35,rock
6786048327681,5,rock
4793183502339,39,blues
13993003450369,6,blues
12764642803712,154,rock
14877766713344,45,rock
9663676416000,16,rock
12283606466560,175,reggae
16604343566336,67,rock
3530463117312,17,reggae
11295763988480,138,blues
6897717477378,77,rock
16441134809089,82,rap
5909874999299,25,reggae
8177617731586,273,rap
10196252360706,22,rock
16406775070721,152,reggae
