song_id,predicted_genre
8589934592,blues
25769803776,blues
77309411330,reggae
111669149697,reggae
111669149697,rock
128849018882,rap
128849018882,rock
146028888066,blues
146028888066,rock
154618822657,blues
154618822658,blues
163208757248,rock
163208757250,rock
197568495617,rock
214748364802,rock
240518168577,rock
274877906944,rock
274877906945,rock
274877906947,rock
292057776128,rap
292057776129,rap
309237645313,blues
309237645313,reggae
335007449088,reggae
335007449089,rap
335007449089,reggae
335007449090,blues
343597383682,electro
360777252865,reggae
369367187458,rock
377957122050,electro
386547056641,rap
386547056641,rock
403726925824,rock
403726925826,rock
420906795009,rock
446676598785,rock
455266533377,rock
463856467969,rap
463856467970,rock
481036337155,rock
506806140928,rock
515396075522,rock
541165879298,reggae
584115552257,rock
592705486848,rock
601295421440,rock
609885356033,rock
618475290626,rock
661424963584,rock
695784701954,electro
695784701954,rock
730144440321,rock
738734374912,rap
738734374914,blues
738734374914,reggae
747324309505,electro
747324309505,rock
755914244098,electro
755914244098,rock
764504178691,rock
781684047874,rock
798863917056,rap
816043786240,rock
816043786242,rock
833223655427,rap
841813590016,rock
850403524608,rock
884763262978,blues
901943132161,blues
901943132161,electro
936302870528,rock
953482739712,blues
953482739712,rock
953482739713,blues
953482739713,rap
953482739713,rock
979252543488,rock
1005022347266,rock
1013612281857,reggae
1022202216450,rock
1030792151041,rock
1047972020226,rock
1056561954816,rock
1065151889410,rock
1082331758592,rock
1108101562371,rock
1133871366146,rap
1151051235328,rap
1151051235328,rock
1159641169922,rock
1176821039107,reggae
1176821039107,rock
1194000908288,rap
1228360646657,blues
1228360646657,reggae
1245540515841,reggae
1245540515841,rock
1245540515842,rock
1271310319617,rock
1279900254210,electro
1288490188800,blues
1297080123393,blues
1305670057985,rock
1331439861761,rock
1340029796352,rock
1340029796353,rock
1357209665538,rock
1374389534721,rock
1391569403906,rock
1408749273088,blues
1417339207681,rock
1425929142274,blues
1443109011458,rock
1468878815232,rock
1486058684418,rock
1520418422784,rock
1529008357379,rock
1546188226560,rap
1563368095744,blues
1571958030338,reggae
1589137899522,rock
1597727834114,rock
1606317768704,rock
1606317768706,rock
1614907703296,rock
1614907703297,rock
1623497637889,rock
1623497637890,rock
1632087572481,rock
1640677507072,rock
1640677507073,rock
1666447310850,rock
1666447310851,rock
1692217114625,rock
1709396983810,rock
1717986918400,blues
1735166787586,rock
1752346656768,electro
1795296329729,rock
1812476198914,rock
1829656068096,rock
1829656068097,rock
1846835937282,rock
1855425871872,rock
1855425871874,rock
1872605741057,rap
1872605741057,rock
1881195675650,rap
1889785610242,blues
1889785610242,rock
1898375544832,rock
1915555414018,rock
1941325217792,blues
1941325217792,reggae
1941325217794,rap
1941325217795,rap
1958505086976,rock
1984274890753,electro
1992864825346,blues
2010044694528,rock
2027224563712,electro
2027224563712,rock
2035814498304,blues
2052994367489,rock
2052994367490,reggae
2061584302082,rock
2070174236673,reggae
2078764171264,rock
2078764171265,rock
2113123909634,blues
2138893713408,reggae
2164663517185,blues
2207613190144,rock
2207613190145,rock
2207613190146,rock
2224793059329,rock
2224793059331,blues
2276332666881,blues
2276332666882,rock
2293512536066,reggae
2293512536066,rock
2293512536067,reggae
2293512536067,rock
2302102470657,reggae
2302102470657,rock
2319282339842,rock
2327872274434,rock
2336462209026,reggae
2345052143616,rap
2345052143617,rap
2362232012801,rock
2379411881986,rap
2379411881986,reggae
2396591751168,blues
2396591751168,rock
2396591751169,rock
2405181685760,rock
2405181685762,rock
2413771620352,reggae
2430951489539,rock
2439541424128,rock
2465311227906,blues
2465311227906,rock
2482491097089,rock
2482491097090,blues
2482491097090,rock
2499670966273,rock
2508260900865,blues
2516850835456,blues
2551210573824,electro
2551210573824,rock
2551210573825,rock
2559800508416,rock
2559800508418,reggae
2559800508418,rock
2568390443010,rock
2568390443011,rock
2576980377600,rock
2576980377601,rock
2585570312193,reggae
2585570312193,rock
2585570312194,reggae
2585570312194,rock
2594160246786,rock
2602750181378,reggae
2602750181378,rock
2611340115968,rock
2619930050560,blues
2619930050560,rap
2619930050560,rock
2628519985152,reggae
2628519985154,reggae
2662879723522,rock
2705829396483,blues
2705829396483,rock
2714419331073,blues
2714419331073,reggae
2731599200257,reggae
2740189134848,rap
2740189134848,rock
2740189134850,rap
2757369004032,reggae
2774548873218,rap
2808908611586,rock
2843268349952,blues
2860448219137,rock
2903397892098,rock
2911987826689,rock
2929167695874,reggae
2946347565057,rock
2946347565058,blues
2954937499648,rock
2963527434241,rock
2980707303426,blues
2989297238017,rap
2989297238019,blues
2997887172609,rock
3032246910977,reggae
3049426780161,reggae
3066606649344,rock
3109556322306,rock
3118146256897,blues
3126736191491,blues
3143916060673,rock
3152505995264,rock
3152505995265,electro
3152505995265,rap
3152505995266,rock
3169685864449,rap
3178275799040,rap
3178275799041,rock
3204045602816,rock
3204045602817,blues
3204045602817,rock
3212635537408,rock
3221225472001,blues
3221225472001,rock
3246995275776,rock
3246995275778,rock
3255585210369,rap
3264175144961,electro
3264175144961,rock
3281355014144,rock
3289944948736,rock
3289944948737,rap
3289944948737,rock
3298534883330,rock
3324304687104,reggae
3332894621696,blues
3341484556288,reggae
3367254360065,blues
3367254360066,reggae
3393024163840,blues
3393024163840,electro
3401614098435,rock
3427383902209,rock
3444563771393,rock
3453153705984,rock
3461743640576,reggae
3504693313536,rock
3521873182722,blues
3547642986496,rap
3547642986497,rock
3564822855680,electro
3564822855680,rock
3564822855682,rock
3616362463234,rock
3659312136192,rock
3667902070785,rock
3676492005377,rock
3685081939970,electro
3685081939970,rock
3685081939971,electro
3685081939971,rock
3693671874560,rap
3710851743746,rock
3728031612929,rock
3762391351296,reggae
3762391351297,reggae
3779571220480,rock
3796751089665,rock
3848290697217,rock
3848290697218,rock
3865470566401,rock
3908420239360,rock
3925600108545,rock
3942779977728,reggae
3942779977728,rock
3951369912322,rap
3951369912322,rock
3968549781506,rock
3977139716096,rock
3977139716097,rock
3977139716098,rock
3994319585281,rap
3994319585282,rap
4037269258241,reggae
4037269258241,rock
4045859192832,blues
4088808865792,rock
4088808865793,blues
4088808865793,rock
4097398800384,rock
4105988734976,blues
4114578669569,reggae
4123168604160,rap
4123168604160,reggae
4123168604160,rock
4123168604161,rap
4123168604161,rock
4131758538753,rap
4131758538753,reggae
4140348473344,blues
4148938407937,rock
4157528342529,rock
4183298146306,reggae
4183298146306,rock
4191888080897,rock
4209067950080,rock
4226247819266,electro
4226247819266,rock
4234837753858,electro
4234837753858,reggae
4243427688450,rock
4269197492225,rock
4286377361408,reggae
4286377361409,blues
4286377361410,rock
4294967296000,rock
4312147165187,blues
4312147165187,rock
4320737099776,rock
4320737099778,rock
4355096838145,rock
4363686772738,blues
4415226380288,blues
4432406249472,blues
4458176053248,rock
4475355922434,electro
4475355922434,rap
4483945857024,rock
4501125726208,rock
4509715660800,blues
4526895529985,rap
4526895529985,rock
4535485464578,rap
4535485464578,rock
4552665333761,reggae
4552665333761,rock
4561255268354,rap
4561255268354,rock
4569845202944,electro
4569845202944,rap
4569845202944,rock
4569845202946,blues
4578435137538,rap
4587025072129,electro
4587025072129,rock
4612794875904,rock
4621384810498,blues
4629974745090,rock
4638564679680,rap
4647154614273,rock
4647154614274,rock
4655744548864,rock
4698694221825,electro
4707284156417,reggae
4724464025600,rock
4724464025601,rap
4767413698560,rock
4776003633154,reggae
4776003633154,rock
4801773436928,rock
4827543240704,rock
4844723109888,reggae
4844723109889,reggae
4870492913665,electro
4870492913665,rock
